title,author,date,views,likes,link
What's that ringing in your ears?,Marc Fagelson,August 2020,5700000,172000,https://ted.com/talks/marc_fagelson_what_s_that_ringing_in_your_ears
"Can we call it a ""world map"" if it's missing a billion people?",Rebecca Firth,June 2020,1700000,51000,https://ted.com/talks/rebecca_firth_can_we_call_it_a_world_map_if_it_s_missing_a_billion_people
"""Way Home"" / ""Warrior Heart""", Shawnee,December 2019,4900,147,https://ted.com/talks/shawnee_way_home_warrior_heart
A story of Brazil through a single iconic building,Denise Zmekhol,December 2019,6500,196,https://ted.com/talks/denise_zmekhol_a_story_of_brazil_through_a_single_iconic_building
What to do when everything feels broken,Daniel Alexander Jones,June 2020,388000,11000,https://ted.com/talks/daniel_alexander_jones_what_to_do_when_everything_feels_broken
"""White Lies"" / ""Turn It Around""", Lucius,June 2020,53000,1500,https://ted.com/talks/lucius_white_lies_turn_it_around
The last living members of an extinct species,Jan Stejskal,August 2020,1000000,30000,https://ted.com/talks/jan_stejskal_the_last_living_members_of_an_extinct_species
Why rumors about vaccines spread — and how to rebuild trust,Heidi Larson,March 2020,369000,11000,https://ted.com/talks/heidi_larson_why_rumors_about_vaccines_spread_and_how_to_rebuild_trust
What silence can teach you about sound,Dallas Taylor,May 2020,1900000,59000,https://ted.com/talks/dallas_taylor_what_silence_can_teach_you_about_sound
How sleep affects your emotions,Matt Walker,August 2020,645000,19000,https://ted.com/talks/matt_walker_how_sleep_affects_your_emotions
3 questions to ask yourself about US citizenship,Jose Antonio Vargas,July 2020,1600000,50000,https://ted.com/talks/jose_antonio_vargas_3_questions_to_ask_yourself_about_us_citizenship
Can you solve the cheating royal riddle?,Dan Katz,August 2020,3100000,93000,https://ted.com/talks/dan_katz_can_you_solve_the_cheating_royal_riddle
Can you outsmart the fallacy that fooled a generation of doctors?,Elizabeth Cox,August 2020,1400000,42000,https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_fooled_a_generation_of_doctors
How to build a resilient future using ancient wisdom,Julia Watson,June 2020,405000,12000,https://ted.com/talks/julia_watson_how_to_build_a_resilient_future_using_ancient_wisdom
Let's scan the whole planet with LiDAR,Chris Fisher,November 2019,1700000,52000,https://ted.com/talks/chris_fisher_let_s_scan_the_whole_planet_with_lidar
"The big-beaked, rock-munching fish that protect coral reefs",Mike Gil,August 2020,385000,11000,https://ted.com/talks/mike_gil_the_big_beaked_rock_munching_fish_that_protect_coral_reefs
The myth of Ireland's two greatest warriors,Iseult Gillespie,August 2020,1000000,30000,https://ted.com/talks/iseult_gillespie_the_myth_of_ireland_s_two_greatest_warriors
Newton's three-body problem explained,Fabio Pacucci,August 2020,1100000,34000,https://ted.com/talks/fabio_pacucci_newton_s_three_body_problem_explained
Can you solve the honeybee riddle?,Dan Finkel,July 2020,1700000,51000,https://ted.com/talks/dan_finkel_can_you_solve_the_honeybee_riddle
Ethical dilemma: The burger murders,George Siedel and Christine Ladwig,July 2020,1600000,49000,https://ted.com/talks/george_siedel_and_christine_ladwig_ethical_dilemma_the_burger_murders
No one can figure out how eels have sex,Lucy Cooke,July 2020,2500000,76000,https://ted.com/talks/lucy_cooke_no_one_can_figure_out_how_eels_have_sex
What's the connection between sleep and Alzheimer's disease?,Matt Walker,August 2020,733000,22000,https://ted.com/talks/matt_walker_what_s_the_connection_between_sleep_and_alzheimer_s_disease
How schools should respond to COVID-19,Nora Flanagan,June 2020,133000,4000,https://ted.com/talks/nora_flanagan_how_schools_should_respond_to_covid_19
A stock market for social justice,ZigZag,August 2020,1500000,46000,https://ted.com/talks/zigzag_a_stock_market_for_social_justice
Innovations in sleep, Beautyrest,January 1970,60000,1800,https://ted.com/talks/beautyrest_innovations_in_sleep
Hacking your memory — with sleep,Matt Walker,July 2020,853000,25000,https://ted.com/talks/matt_walker_hacking_your_memory_with_sleep
Love letters to what we hold dear,Debbie Millman,January 1970,192000,5700,https://ted.com/talks/debbie_millman_love_letters_to_what_we_hold_dear
Can light stop the coronavirus?,David Brenner,July 2020,1900000,57000,https://ted.com/talks/david_brenner_can_light_stop_the_coronavirus
How do our brains process speech?,Gareth Gaskell,July 2020,568000,17000,https://ted.com/talks/gareth_gaskell_how_do_our_brains_process_speech
Give yourself permission to be creative,Ethan Hawke,June 2020,3700000,112000,https://ted.com/talks/ethan_hawke_give_yourself_permission_to_be_creative
"Deep learning, neural networks and the future of AI",Yann LeCun,June 2020,256000,7600,https://ted.com/talks/yann_lecun_deep_learning_neural_networks_and_the_future_of_ai
How to connect while apart,Eric Yuan,July 2020,213000,6400,https://ted.com/talks/eric_yuan_how_to_connect_while_apart
How caffeine and alcohol affect your sleep,Matt Walker,July 2020,1600000,49000,https://ted.com/talks/matt_walker_how_caffeine_and_alcohol_affect_your_sleep
The case for restorative justice in juvenile courts,Wesley Saint Clair,November 2016,24000,727,https://ted.com/talks/wesley_saint_clair_the_case_for_restorative_justice_in_juvenile_courts
Designing for justice,Antionette Carroll,May 2017,22000,673,https://ted.com/talks/antionette_carroll_designing_for_justice
COVID-19 unraveled the workforce. Here's how to fix it,Mary L. Gray,July 2020,222000,6600,https://ted.com/talks/mary_l_gray_covid_19_unraveled_the_workforce_here_s_how_to_fix_it
"The myth of Jason, Medea, and the Golden Fleece",Iseult Gillespie,July 2020,1000000,30000,https://ted.com/talks/iseult_gillespie_the_myth_of_jason_medea_and_the_golden_fleece
5 needs that any COVID-19 response should meet,Kwame Owusu-Kesse,June 2020,1700000,51000,https://ted.com/talks/kwame_owusu_kesse_5_needs_that_any_covid_19_response_should_meet
The rise and fall of the Celtic warriors,Philip Freeman,July 2020,1000000,30000,https://ted.com/talks/philip_freeman_the_rise_and_fall_of_the_celtic_warriors
New ways to understand life in a pandemic,Aaron Maniam,June 2020,235000,7000,https://ted.com/talks/aaron_maniam_new_ways_to_understand_life_in_a_pandemic
The fight for civil rights and freedom,John Lewis and Bryan Stevenson,November 2019,2600000,79000,https://ted.com/talks/john_lewis_and_bryan_stevenson_the_fight_for_civil_rights_and_freedom
A call to end the media coverage mass shooters want ,Tom Teves,November 2019,1700000,53000,https://ted.com/talks/tom_teves_a_call_to_end_the_media_coverage_mass_shooters_want
A new stock exchange focused on the long-term,Michelle Greene,June 2020,229000,6800,https://ted.com/talks/michelle_greene_a_new_stock_exchange_focused_on_the_long_term
Las historias de la Historia | Javier Olivares | TEDxMadrid,Javier Olivares,September 2016,55000,1600,https://ted.com/talks/javier_olivares_las_historias_de_la_historia
How love can help repair social inequality,Chloé Valdary,June 2020,1800000,55000,https://ted.com/talks/chloe_valdary_how_love_can_help_repair_social_inequality
The Egyptian myth of the death of Osiris,Alex Gendler,July 2020,2500000,77000,https://ted.com/talks/alex_gendler_the_egyptian_myth_of_the_death_of_osiris
What if you could help decide how the government spends public funds?,Shari Davis,July 2020,1700000,52000,https://ted.com/talks/shari_davis_what_if_you_could_help_decide_how_the_government_spends_public_funds
Want a more just world? Be an unlikely ally,Dwinita Mosby Tyler,November 2019,2000000,62000,https://ted.com/talks/dwinita_mosby_tyler_want_a_more_just_world_be_an_unlikely_ally
How city mayors are taking action on climate change,Eric Garcetti,July 2020,1500000,46000,https://ted.com/talks/eric_garcetti_how_city_mayors_are_taking_action_on_climate_change
A walk through the stages of sleep,Matt Walker,July 2020,751000,22000,https://ted.com/talks/matt_walker_a_walk_through_the_stages_of_sleep
A blueprint for reparations in the US,"William ""Sandy"" Darity",June 2020,1700000,53000,https://ted.com/talks/william_sandy_darity_a_blueprint_for_reparations_in_the_us
The race to decode a mysterious language,Susan Lupack,July 2020,773000,23000,https://ted.com/talks/susan_lupack_the_race_to_decode_a_mysterious_language
The invisible life hidden beneath Antarctica's ice,Ariel Waldman,May 2020,1600000,49000,https://ted.com/talks/ariel_waldman_the_invisible_life_hidden_beneath_antarctica_s_ice
Why violence clusters in cities — and how to reduce it,Thomas Abt,March 2020,200000,6000,https://ted.com/talks/thomas_abt_why_violence_clusters_in_cities_and_how_to_reduce_it
What makes volcanoes erupt?,Steven Anderson,July 2020,1200000,38000,https://ted.com/talks/steven_anderson_what_makes_volcanoes_erupt
What happens when biology becomes technology?,Christina Agapakis,June 2020,1900000,57000,https://ted.com/talks/christina_agapakis_what_happens_when_biology_becomes_technology
Rethinking education and celebrating the Arabic language,Ahmad M. Hasnah,June 2020,3900,117,https://ted.com/talks/ahmad_m_hasnah_rethinking_education_and_celebrating_the_arabic_language
"Activism, changemakers and hope for the future",Malala Yousafzai,July 2020,2000000,61000,https://ted.com/talks/malala_yousafzai_activism_changemakers_and_hope_for_the_future
How to disrupt philanthropy in response to crisis,Darren Walker,July 2020,247000,7400,https://ted.com/talks/darren_walker_how_to_disrupt_philanthropy_in_response_to_crisis
How museums help communities heal,Honor Harger,June 2020,190000,5700,https://ted.com/talks/honor_harger_how_museums_help_communities_heal
What happened when the United States tried to ban alcohol ,Rod Phillips,July 2020,572000,17000,https://ted.com/talks/rod_phillips_what_happened_when_the_united_states_tried_to_ban_alcohol
"Every day you live, you impact the planet",Jane Goodall,May 2020,2000000,61000,https://ted.com/talks/jane_goodall_every_day_you_live_you_impact_the_planet
"A friendly, autonomous robot that delivers your food",Ali Kashani,June 2020,1800000,56000,https://ted.com/talks/ali_kashani_a_friendly_autonomous_robot_that_delivers_your_food
The transformative role of art during the pandemic,Anne Pasternak,June 2020,203000,6000,https://ted.com/talks/anne_pasternak_the_transformative_role_of_art_during_the_pandemic
The future of digital communication and privacy,Will Cathcart,June 2020,224000,6700,https://ted.com/talks/will_cathcart_the_future_of_digital_communication_and_privacy
The tale of the boy who tricked the Devil,Iseult Gillespie,July 2020,4400000,134000,https://ted.com/talks/iseult_gillespie_the_tale_of_the_boy_who_tricked_the_devil
The COVID-19 crisis is a chance to do capitalism differently,Mariana Mazzucato,June 2020,228000,6800,https://ted.com/talks/mariana_mazzucato_the_covid_19_crisis_is_a_chance_to_do_capitalism_differently
"""Peaceful Afternoon"" / ""Going To A Town""",Rufus Wainwright,May 2020,15000,463,https://ted.com/talks/rufus_wainwright_peaceful_afternoon_going_to_a_town
How COVID-19 impacted a global tech company and spurred innovation,Craig Silliman,June 2020,14000,449,https://ted.com/talks/craig_silliman_how_covid_19_impacted_a_global_tech_company_and_spurred_innovation
The greatest mathematician that never lived,Pratik Aghor,July 2020,2300000,70000,https://ted.com/talks/pratik_aghor_the_greatest_mathematician_that_never_lived
Africa is a sleeping giant — I'm trying to wake it up,Adeola Fayehun,May 2020,2300000,69000,https://ted.com/talks/adeola_fayehun_africa_is_a_sleeping_giant_i_m_trying_to_wake_it_up
The last chief of the Comanches and the fall of an empire,Dustin Tahmahkera,June 2020,277000,8300,https://ted.com/talks/dustin_tahmahkera_the_last_chief_of_the_comanches_and_the_fall_of_an_empire
Can you solve the Ragnarok riddle?,Dan Finkel,June 2020,4200000,128000,https://ted.com/talks/dan_finkel_can_you_solve_the_ragnarok_riddle
What do all languages have in common?,Cameron Morin,June 2020,872000,26000,https://ted.com/talks/cameron_morin_what_do_all_languages_have_in_common
Oberammergau,Far Flung,July 2020,1200000,36000,https://ted.com/talks/far_flung_oberammergau
Scenes from a Black trans life,D-L Stewart,March 2019,1800000,54000,https://ted.com/talks/d_l_stewart_scenes_from_a_black_trans_life
Can beauty open our hearts to difficult conversations?,Titus Kaphar,June 2020,260000,7800,https://ted.com/talks/titus_kaphar_can_beauty_open_our_hearts_to_difficult_conversations
How the pandemic will shape the near future,Bill Gates,June 2020,4600000,138000,https://ted.com/talks/bill_gates_how_the_pandemic_will_shape_the_near_future
The courage to live with radical uncertainty,Shekinah Elmore,March 2020,264000,7900,https://ted.com/talks/shekinah_elmore_the_courage_to_live_with_radical_uncertainty
What foods did your ancestors love?,Aparna Pallavi,December 2018,2100000,63000,https://ted.com/talks/aparna_pallavi_what_foods_did_your_ancestors_love
Stop being a bystander in your own life,Tracy Edwards,May 2020,2400000,74000,https://ted.com/talks/tracy_edwards_stop_being_a_bystander_in_your_own_life
"The trials, tribulations and timeline of a COVID-19 vaccine",Jerome Kim,June 2020,256000,7600,https://ted.com/talks/jerome_kim_the_trials_tribulations_and_timeline_of_a_covid_19_vaccine
3 ways we can redesign cities for equity and inclusion,Vishaan Chakrabarti,May 2020,1800000,56000,https://ted.com/talks/vishaan_chakrabarti_3_ways_we_can_redesign_cities_for_equity_and_inclusion
"How women will lead us to freedom, justice and peace",H.E. Ellen Johnson Sirleaf,December 2019,1900000,58000,https://ted.com/talks/h_e_ellen_johnson_sirleaf_how_women_will_lead_us_to_freedom_justice_and_peace
"How organizations can create safe, inviting workplaces for returning employees",James Ludwig,June 2020,8700,262,https://ted.com/talks/james_ludwig_how_organizations_can_create_safe_inviting_workplaces_for_returning_employees
The beauty and complexity of finding common ground,Matt Trombley,February 2020,610000,18000,https://ted.com/talks/matt_trombley_the_beauty_and_complexity_of_finding_common_ground
How Dolly Parton led me to an epiphany,Jad Abumrad,June 2020,2700000,81000,https://ted.com/talks/jad_abumrad_how_dolly_parton_led_me_to_an_epiphany
The new urgency of climate change,Al Gore,June 2020,2300000,70000,https://ted.com/talks/al_gore_the_new_urgency_of_climate_change
First person vs. Second person vs. Third person,Rebekah Bergman,June 2020,673000,20000,https://ted.com/talks/rebekah_bergman_first_person_vs_second_person_vs_third_person
The case to infect volunteers with COVID-19 to accelerate vaccine testing,Nir Eyal,June 2020,2000000,62000,https://ted.com/talks/nir_eyal_the_case_to_infect_volunteers_with_covid_19_to_accelerate_vaccine_testing
How to support and celebrate living artists,Swizz Beatz,June 2020,1800000,55000,https://ted.com/talks/swizz_beatz_how_to_support_and_celebrate_living_artists
A vision for the future of Afghanistan,Ashraf Ghani,June 2020,263000,7900,https://ted.com/talks/ashraf_ghani_a_vision_for_the_future_of_afghanistan
"The Factory | Think Like A Coder, Ep 9",Alex Rosenthal,June 2020,322000,9600,https://ted.com/talks/alex_rosenthal_the_factory_think_like_a_coder_ep_9
Why is colonialism (still) romanticized?,Farish Ahmad-Noor,September 2019,2000000,61000,https://ted.com/talks/farish_ahmad_noor_why_is_colonialism_still_romanticized
A day in the life of a teenage samurai,Constantine N. Vaporis,June 2020,1100000,34000,https://ted.com/talks/constantine_n_vaporis_a_day_in_the_life_of_a_teenage_samurai
How digital innovation can fight pandemics and strengthen democracy,Audrey Tang,June 2020,423000,12000,https://ted.com/talks/audrey_tang_how_digital_innovation_can_fight_pandemics_and_strengthen_democracy
The aesthetics of survival,Hari Nef,April 2016,103000,3100,https://ted.com/talks/hari_nef_the_aesthetics_of_survival
The necessity of normalizing queer love,Panti Bliss,September 2014,533000,16000,https://ted.com/talks/panti_bliss_the_necessity_of_normalizing_queer_love
The myths of gay adoption,Lynne Elvins,November 2015,573000,17000,https://ted.com/talks/lynne_elvins_the_myths_of_gay_adoption
"Why am I ""so gay?""",Thomas Lloyd,November 2014,3400000,103000,https://ted.com/talks/thomas_lloyd_why_am_i_so_gay
A path to higher education and employment for refugees,Chrystina Russell,June 2020,515000,15000,https://ted.com/talks/chrystina_russell_a_path_to_higher_education_and_employment_for_refugees
How racial bias works — and how to disrupt it,Jennifer L. Eberhardt,June 2020,3100000,95000,https://ted.com/talks/jennifer_l_eberhardt_how_racial_bias_works_and_how_to_disrupt_it
What yoga does to your body and brain,Krishna Sudhir,June 2020,2200000,68000,https://ted.com/talks/krishna_sudhir_what_yoga_does_to_your_body_and_brain
The new science of personalized vaccines,Ofer Levy,November 2019,410000,12000,https://ted.com/talks/ofer_levy_the_new_science_of_personalized_vaccines
A dose of reality about generic drugs,Katherine Eban,March 2020,411000,12000,https://ted.com/talks/katherine_eban_a_dose_of_reality_about_generic_drugs
Can steroids save your life?,Anees Bahji,June 2020,313000,9400,https://ted.com/talks/anees_bahji_can_steroids_save_your_life
The alliances needed to rebuild the developing world,Achim Steiner,June 2020,197000,5900,https://ted.com/talks/achim_steiner_the_alliances_needed_to_rebuild_the_developing_world
My secret to staying focused under pressure,Russell Wilson,May 2020,2700000,83000,https://ted.com/talks/russell_wilson_my_secret_to_staying_focused_under_pressure
How businesses can plan for the road to recovery,Rich Lesser,May 2020,10000,316,https://ted.com/talks/rich_lesser_how_businesses_can_plan_for_the_road_to_recovery
How fast can a vaccine be made?,Dan Kwartler,June 2020,1100000,34000,https://ted.com/talks/dan_kwartler_how_fast_can_a_vaccine_be_made
3 secrets of resilient people,Lucy Hone,August 2019,5000000,151000,https://ted.com/talks/lucy_hone_3_secrets_of_resilient_people
The restorative potential of nature's beauty,Louie Schwartzberg,June 2020,23000,716,https://ted.com/talks/louie_schwartzberg_the_restorative_potential_of_nature_s_beauty
"""All Together Now""", OK Go,April 2020,8700,261,https://ted.com/talks/ok_go_all_together_now
How drawing can set you free,Shantell Martin,May 2020,2100000,65000,https://ted.com/talks/shantell_martin_how_drawing_can_set_you_free
What tech companies know about your kids,Veronica Barassi,November 2019,2000000,60000,https://ted.com/talks/veronica_barassi_what_tech_companies_know_about_your_kids
Which voting system is the best?,Alex Gendler,June 2020,856000,25000,https://ted.com/talks/alex_gendler_which_voting_system_is_the_best
How to turn your dissatisfaction into action,Yvonne Aki-Sawyerr,December 2019,2200000,66000,https://ted.com/talks/yvonne_aki_sawyerr_how_to_turn_your_dissatisfaction_into_action
"The difference between being ""not racist"" and antiracist",Ibram X. Kendi,May 2020,2800000,86000,https://ted.com/talks/ibram_x_kendi_the_difference_between_being_not_racist_and_antiracist
We need to green the economy while restarting it,Nigel Topping,May 2020,1900000,57000,https://ted.com/talks/nigel_topping_we_need_to_green_the_economy_while_restarting_it
How flags unite (and divide) us,Michael Green,November 2019,297000,8900,https://ted.com/talks/michael_green_how_flags_unite_and_divide_us
What can DNA tests really tell us about our ancestry?,Prosanta Chakrabarty,June 2020,987000,29000,https://ted.com/talks/prosanta_chakrabarty_what_can_dna_tests_really_tell_us_about_our_ancestry
The bill has come due for the US's history of racism,Dr. Phillip Atiba Goff,June 2020,177000,5300,https://ted.com/talks/dr_phillip_atiba_goff_the_bill_has_come_due_for_the_us_s_history_of_racism
How to channel your presence and energy into ending injustice,Rashad Robinson,June 2020,180000,5400,https://ted.com/talks/rashad_robinson_how_to_channel_your_presence_and_energy_into_ending_injustice
The US needs a radical revolution of values,Dr. Bernice King,June 2020,1200000,37000,https://ted.com/talks/dr_bernice_king_the_us_needs_a_radical_revolution_of_values
The ACLU's call to defund the police,Anthony D. Romero,June 2020,128000,3800,https://ted.com/talks/anthony_d_romero_the_aclu_s_call_to_defund_the_police
How to see more and care less: The art of Georgia O'Keeffe,Iseult Gillespie,June 2020,364000,10000,https://ted.com/talks/iseult_gillespie_how_to_see_more_and_care_less_the_art_of_georgia_o_keeffe
The economic benefits of climate action ,Marcelo Mena,May 2020,243000,7200,https://ted.com/talks/marcelo_mena_the_economic_benefits_of_climate_action
5 steps to remove yourself from drama at work,Anastasia Penright,February 2020,2400000,73000,https://ted.com/talks/anastasia_penright_5_steps_to_remove_yourself_from_drama_at_work
How to recognize your white privilege — and use it to fight inequality,Peggy McIntosh,October 2012,431000,12000,https://ted.com/talks/peggy_mcintosh_how_to_recognize_your_white_privilege_and_use_it_to_fight_inequality
A day in the life of a Peruvian shaman,Gabriel Prieto,June 2020,709000,21000,https://ted.com/talks/gabriel_prieto_a_day_in_the_life_of_a_peruvian_shaman
The path to ending systemic racism in the US,"Dr. Phillip Atiba Goff, Rashad Robinson, Dr. Bernice King, Anthony D. Romero",June 2020,2500000,75000,https://ted.com/talks/dr_phillip_atiba_goff_rashad_robinson_dr_bernice_king_anthony_d_romero_the_path_to_ending_systemic_racism_in_the_us
We need to address the real roots of racial violence,Megan Ming Francis,November 2015,1300000,41000,https://ted.com/talks/megan_ming_francis_we_need_to_address_the_real_roots_of_racial_violence
How complex global organizations are adapting to our new reality,Sunil Prashara,May 2020,8800,265,https://ted.com/talks/sunil_prashara_how_complex_global_organizations_are_adapting_to_our_new_reality
How tech companies can help combat the pandemic and reshape public health,Karen DeSalvo,May 2020,333000,9900,https://ted.com/talks/karen_desalvo_how_tech_companies_can_help_combat_the_pandemic_and_reshape_public_health
"The link between climate change, health and poverty",Cheryl Holder,March 2020,291000,8700,https://ted.com/talks/cheryl_holder_the_link_between_climate_change_health_and_poverty
How to quickly scale up contact tracing across the US,Joia Mukherjee,May 2020,341000,10000,https://ted.com/talks/joia_mukherjee_how_to_quickly_scale_up_contact_tracing_across_the_us
How to support witnesses of harassment and build healthier workplaces,Julia Shaw,December 2019,1800000,56000,https://ted.com/talks/julia_shaw_how_to_support_witnesses_of_harassment_and_build_healthier_workplaces
When is a pandemic over?,Alex Rosenthal,June 2020,7000000,211000,https://ted.com/talks/alex_rosenthal_when_is_a_pandemic_over
"The new jobs of the future, and other insights on the changing workforce",Ben Pring,May 2020,43000,1300,https://ted.com/talks/ben_pring_the_new_jobs_of_the_future_and_other_insights_on_the_changing_workforce
The true cost of financial dependence,Estelle Gibson,October 2019,2200000,67000,https://ted.com/talks/estelle_gibson_the_true_cost_of_financial_dependence
"""Beautifully Out of Place""",Sierra Hull,April 2020,9300,281,https://ted.com/talks/sierra_hull_beautifully_out_of_place
The case for vermicomposting,David Witzeneder,March 2019,8700,263,https://ted.com/talks/david_witzeneder_the_case_for_vermicomposting
"What COVID-19 means for the future of commerce, capitalism and cash",Dan Schulman,May 2020,422000,12000,https://ted.com/talks/dan_schulman_what_covid_19_means_for_the_future_of_commerce_capitalism_and_cash
My story of love and loss as a transracial adoptee,Sara Jones,September 2019,2000000,61000,https://ted.com/talks/sara_jones_my_story_of_love_and_loss_as_a_transracial_adoptee
What is phantom traffic and why is it ruining your life?,Benjamin Seibold,May 2020,580000,17000,https://ted.com/talks/benjamin_seibold_what_is_phantom_traffic_and_why_is_it_ruining_your_life
Autofocusing reading glasses of the future,Nitish Padmanaban,November 2019,2200000,66000,https://ted.com/talks/nitish_padmanaban_autofocusing_reading_glasses_of_the_future
How to raise kids who can overcome anxiety,Anne Marie Albano,March 2020,501000,15000,https://ted.com/talks/anne_marie_albano_how_to_raise_kids_who_can_overcome_anxiety
The secret weapon against pandemics,Georges C. Benjamin,May 2020,1800000,56000,https://ted.com/talks/georges_c_benjamin_the_secret_weapon_against_pandemics
"A COVID-19 ""exit"" strategy to end lockdown and reopen the economy",Uri Alon,May 2020,2100000,64000,https://ted.com/talks/uri_alon_a_covid_19_exit_strategy_to_end_lockdown_and_reopen_the_economy
"Why should you read ""Moby Dick""?",Sascha Morrell,May 2020,702000,21000,https://ted.com/talks/sascha_morrell_why_should_you_read_moby_dick
Let's make the world wild again,Kristine Tompkins,April 2020,2200000,66000,https://ted.com/talks/kristine_tompkins_let_s_make_the_world_wild_again
How the US can address the tragedy of veteran suicide,Charles P. Smith,February 2020,2100000,63000,https://ted.com/talks/charles_p_smith_how_the_us_can_address_the_tragedy_of_veteran_suicide
How do ventilators work?,Alex Gendler,May 2020,2300000,70000,https://ted.com/talks/alex_gendler_how_do_ventilators_work
How to meaningfully reconnect with those who have dementia,Anne Basting,March 2020,302000,9000,https://ted.com/talks/anne_basting_how_to_meaningfully_reconnect_with_those_who_have_dementia
Are we interrupting the kinky sex lives of fish?,Marah J. Hardt,November 2019,1900000,59000,https://ted.com/talks/marah_j_hardt_are_we_interrupting_the_kinky_sex_lives_of_fish
How to rebuild the global economy,Kristalina Georgieva,May 2020,298000,8900,https://ted.com/talks/kristalina_georgieva_how_to_rebuild_the_global_economy
Can you solve the world's most evil wizard riddle?,Dan Finkel,May 2020,1900000,57000,https://ted.com/talks/dan_finkel_can_you_solve_the_world_s_most_evil_wizard_riddle
Can we edit memories?,Amy Milton,March 2019,2300000,70000,https://ted.com/talks/amy_milton_can_we_edit_memories
How literature can help us develop empathy,Beth Ann Fennelly,March 2020,127000,3800,https://ted.com/talks/beth_ann_fennelly_how_literature_can_help_us_develop_empathy
How do you know if you have a virus?,Cella Wright,May 2020,661000,19000,https://ted.com/talks/cella_wright_how_do_you_know_if_you_have_a_virus
"To overcome challenges, stop comparing yourself to others",Dean Furness,February 2020,3500000,105000,https://ted.com/talks/dean_furness_to_overcome_challenges_stop_comparing_yourself_to_others
The language of being human,Poet Ali,July 2019,773000,23000,https://ted.com/talks/poet_ali_the_language_of_being_human
What is a coronavirus?,Elizabeth Cox,May 2020,2100000,64000,https://ted.com/talks/elizabeth_cox_what_is_a_coronavirus
Restoring human dignity at the US southern border,Norma Pimentel,December 2019,1400000,42000,https://ted.com/talks/norma_pimentel_restoring_human_dignity_at_the_us_southern_border
"An ER doctor on triaging your ""crazy busy"" life",Darria Long,November 2019,2500000,75000,https://ted.com/talks/darria_long_an_er_doctor_on_triaging_your_crazy_busy_life
A day in the life of an Aztec midwife,Kay Read,May 2020,1100000,33000,https://ted.com/talks/kay_read_a_day_in_the_life_of_an_aztec_midwife
The US is addicted to incarceration. Here's how to break the cycle,Robin Steinberg and Manoush Zomorodi,December 2019,1900000,57000,https://ted.com/talks/robin_steinberg_and_manoush_zomorodi_the_us_is_addicted_to_incarceration_here_s_how_to_break_the_cycle
Self-compassion for the self-critical,Checking In with Susan David,May 2020,10000,305,https://ted.com/talks/checking_in_with_susan_david_self_compassion_for_the_self_critical
Why students should have mental health days,Hailey Hardcastle,January 2020,3000000,92000,https://ted.com/talks/hailey_hardcastle_why_students_should_have_mental_health_days
Erotismo en la vejez,Ricardo Iacub,August 2014,842000,25000,https://ted.com/talks/ricardo_iacub_erotismo_en_la_vejez
A virus detection network to stop the next pandemic,Pardis Sabeti and Christian Happi,April 2020,1800000,56000,https://ted.com/talks/pardis_sabeti_and_christian_happi_a_virus_detection_network_to_stop_the_next_pandemic
How American and Chinese values shaped the coronavirus response,Huang Hung,April 2020,2200000,66000,https://ted.com/talks/huang_hung_how_american_and_chinese_values_shaped_the_coronavirus_response
"What causes opioid addiction, and why is it so tough to combat?",Mike Davis,May 2020,2000000,62000,https://ted.com/talks/mike_davis_what_causes_opioid_addiction_and_why_is_it_so_tough_to_combat
What you need to know about face surveillance,Kade Crockford,November 2019,2100000,63000,https://ted.com/talks/kade_crockford_what_you_need_to_know_about_face_surveillance
The cost of work stress — and how to reduce it,Rob Cooke,February 2020,2600000,79000,https://ted.com/talks/rob_cooke_the_cost_of_work_stress_and_how_to_reduce_it
Which is better: Soap or hand sanitizer?,Alex Rosenthal and Pall Thordarson,May 2020,4900000,148000,https://ted.com/talks/alex_rosenthal_and_pall_thordarson_which_is_better_soap_or_hand_sanitizer
The mental health benefits of storytelling for health care workers,Laurel Braitman,April 2019,1800000,56000,https://ted.com/talks/laurel_braitman_the_mental_health_benefits_of_storytelling_for_health_care_workers
How we're using AI to discover new antibiotics,Jim Collins,April 2020,1900000,58000,https://ted.com/talks/jim_collins_how_we_re_using_ai_to_discover_new_antibiotics
What really happened during the Salem Witch Trials,Brian A. Pavlac,May 2020,4800000,146000,https://ted.com/talks/brian_a_pavlac_what_really_happened_during_the_salem_witch_trials
"A new way to ""grow"" islands and coastlines",Skylar Tibbits,April 2019,283000,8500,https://ted.com/talks/skylar_tibbits_a_new_way_to_grow_islands_and_coastlines
This sea creature breathes through its butt,Cella Wright,April 2020,384000,11000,https://ted.com/talks/cella_wright_this_sea_creature_breathes_through_its_butt
The electrifying speeches of Sojourner Truth,Daina Ramey Berry,April 2020,352000,10000,https://ted.com/talks/daina_ramey_berry_the_electrifying_speeches_of_sojourner_truth
"The injustice of ""policing for profit"" — and how to end it",Dick M. Carpenter II,June 2019,2000000,60000,https://ted.com/talks/dick_m_carpenter_ii_the_injustice_of_policing_for_profit_and_how_to_end_it
The dark history of IQ tests,Stefan C. Dombrowski,April 2020,1800000,55000,https://ted.com/talks/stefan_c_dombrowski_the_dark_history_of_iq_tests
"Crisis support for the world, one text away",Nancy Lublin,April 2020,1000000,30000,https://ted.com/talks/nancy_lublin_crisis_support_for_the_world_one_text_away
